t,S,I,R,C,integer_day,time_diff,S2I_transitions
120.99992080359026,52499,4669,42832,47401,121,7.91964097430764e-5,526
121.99964256065132,52001,4502,43497,47899,122,3.574393486758254e-4,498
122.99896881870175,51540,4362,44098,48360,123,0.0010311812982450874,461
123.99987524771122,51077,4198,44725,48823,124,1.247522887837249e-4,463
124.99752203463987,50650,4057,45293,49250,125,0.0024779653601285645,427
125.99907359526816,50193,3994,45813,49707,126,9.264047318424673e-4,457
126.99866521610133,49757,3850,46393,50143,127,0.0013347838986703664,436
127.99993835899281,49416,3660,46924,50484,128,6.164100719274757e-5,341
128.9997573338247,49045,3497,47458,50855,129,2.426661752963355e-4,371
129.99840775661875,48677,3386,47937,51223,130,0.001592243381253411,368
130.99798462946708,48327,3252,48421,51573,131,0.0020153705329164495,350
131.99993082771059,48018,3131,48851,51882,132,6.917228941460962e-5,309
132.99882187647515,47701,2995,49304,52199,133,0.001178123524852026,317
133.99761236982027,47380,2900,49720,52520,134,0.0023876301797258748,321
134.99784729804577,47109,2759,50132,52791,135,0.0021527019542304515,271
135.99848835031912,46841,2613,50546,53059,136,0.0015116496808786906,268
136.99874868576535,46566,2572,50862,53334,137,0.0012513142346506356,275
137.99983717432156,46300,2478,51222,53600,138,1.628256784442783e-4,266
138.99942393538356,46054,2400,51546,53846,139,5.760646164389982e-4,246
139.99905852802164,45818,2303,51879,54082,140,9.414719783649161e-4,236
140.99708955339185,45597,2219,52184,54303,141,0.0029104466081548708,221
141.99905917315903,45379,2135,52486,54521,142,9.408268409742959e-4,218
142.99702123811014,45155,2086,52759,54745,143,0.00297876188986379,224
143.99884260878687,44980,1972,53048,54920,144,0.0011573912131268571,175
144.9985942993249,44796,1896,53308,55104,145,0.0014057006750931578,184
145.99887092172273,44622,1803,53575,55278,146,0.0011290782772732655,174
146.9988708322975,44464,1715,53821,55436,147,0.001129167702487166,158
147.99761423745622,44314,1617,54069,55586,148,0.0023857625437813113,150
148.99808266412734,44182,1532,54286,55718,149,0.0019173358726618517,132
149.998643584636,44063,1457,54480,55837,150,0.0013564153640004406,119
150.99869214699882,43931,1389,54680,55969,151,0.0013078530011796374,132
151.99947737880055,43808,1324,54868,56092,152,5.226211994511232e-4,123
152.99519306566643,43686,1246,55068,56214,153,0.004806934333572599,122
153.9949286928194,43575,1179,55246,56325,154,0.005071307180600115,111
154.99372645154804,43469,1146,55385,56431,155,0.006273548451957822,106
155.99725872962864,43359,1092,55549,56541,156,0.0027412703713594055,110
156.99358046201303,43256,1061,55683,56644,157,0.006419537986971591,103
157.9970680933569,43138,1049,55813,56762,158,0.002931906643112825,118
158.9964419283818,43040,1011,55949,56860,159,0.0035580716181868866,98
159.99235790417976,42964,949,56087,56936,160,0.007642095820244776,76
160.99639154362495,42882,885,56233,57018,161,0.0036084563750478083,82
161.99238627354077,42800,841,56359,57100,162,0.0076137264592262,82
162.99800031280682,42725,809,56466,57175,163,0.001999687193176669,75
163.96891580943625,42650,753,56597,57250,164,0.031084190563746006,75
164.99883182003725,42598,708,56694,57302,165,0.0011681799627467626,52
165.98359040084776,42530,689,56781,57370,166,0.016409599152240162,68
166.9972590658631,42463,673,56864,57437,167,0.0027409341369093454,67
167.9949880786173,42398,654,56948,57502,168,0.005011921382703122,65
168.99407648293575,42341,631,57028,57559,169,0.005923517064246653,57
169.99829307504857,42267,611,57122,57633,170,0.001706924951434985,74
170.99505866701523,42215,560,57225,57685,171,0.004941332984770952,52
171.97982747164008,42167,531,57302,57733,172,0.02017252835992167,48
172.9939834230818,42134,478,57388,57766,173,0.006016576918199235,33
173.99640048891965,42096,433,57471,57804,174,0.003599511080352613,38
174.98489480262327,42060,391,57549,57840,175,0.015105197376726665,36
175.9991919628612,42033,379,57588,57867,176,8.080371387961804e-4,27
176.99079945189334,41996,379,57625,57904,177,0.009200548106662154,37
177.9911514920721,41964,358,57678,57936,178,0.008848507927893934,32
178.9806738585025,41935,337,57728,57965,179,0.019326141497487015,29
179.993709760788,41905,332,57763,57995,180,0.006290239212006554,30
180.96994621948878,41880,302,57818,58020,181,0.030053780511224204,25
181.9605946664258,41857,277,57866,58043,182,0.0394053335741944,23
182.9495588405014,41831,263,57906,58069,183,0.05044115949860384,26
183.9911271577279,41809,249,57942,58091,184,0.008872842272097614,22
184.98725028974812,41791,230,57979,58109,185,0.012749710251881652,18
185.99930676011752,41776,211,58013,58124,186,6.932398824801567e-4,15
186.98168608781208,41755,201,58044,58145,187,0.018313912187920778,21
187.9785252848633,41739,189,58072,58161,188,0.021474715136690747,16
188.96544665702376,41721,181,58098,58179,189,0.034553342976238355,18
189.99175924992613,41708,166,58126,58192,190,0.00824075007386682,13
190.9730598874796,41694,147,58159,58206,191,0.026940112520406956,14
191.97686087728923,41678,140,58182,58222,192,0.023139122710773563,16
192.99267118539638,41664,131,58205,58236,193,0.007328814603624778,14
193.97362712026518,41650,130,58220,58250,194,0.026372879734822163,14
194.94703768918404,41634,129,58237,58266,195,0.052962310815956926,16
195.97676114872652,41616,127,58257,58284,196,0.023238851273475802,18
196.9757560610187,41602,117,58281,58298,197,0.02424393898130006,14
197.92855960624905,41592,110,58298,58308,198,0.07144039375094735,10
198.93360407085493,41582,101,58317,58318,199,0.06639592914507375,10
199.94380028515437,41574,94,58332,58326,200,0.0561997148456328,8
200.97298248473152,41570,85,58345,58330,201,0.02701751526848284,4
201.99317868080303,41560,81,58359,58340,202,0.006821319196973263,10
202.9776434875101,41551,76,58373,58349,203,0.022356512489892566,9
203.8591512668158,41544,76,58380,58356,204,0.14084873318421387,7
204.87709098449844,41538,72,58390,58362,205,0.12290901550156264,6
205.93795340353867,41531,69,58400,58369,206,0.06204659646132882,7
206.98194000478338,41523,72,58405,58377,207,0.018059995216617608,8
207.98667162932395,41521,64,58415,58379,208,0.013328370676049417,2
208.96292871866524,41518,60,58422,58382,209,0.0370712813347609,3
209.99092107209214,41515,55,58430,58385,210,0.009078927907864909,3
210.97907666999424,41510,49,58441,58390,211,0.020923330005757634,5
211.88715334303112,41506,48,58446,58394,212,0.11284665696888396,4
212.96285091148727,41499,48,58453,58401,213,0.03714908851273435,7
213.93157051633227,41492,51,58457,58408,214,0.06842948366772816,7
214.94904764695883,41490,45,58465,58410,215,0.05095235304116841,2
215.9064669581566,41485,46,58469,58415,216,0.0935330418433864,5
216.97780368043712,41483,43,58474,58417,217,0.022196319562880262,2
217.8895233705476,41479,40,58481,58421,218,0.11047662945239267,4
218.74654979945564,41476,38,58486,58424,219,0.2534502005443642,3
219.963975313733,41468,37,58495,58432,220,0.036024686267012385,8
220.91102176195713,41464,35,58501,58436,221,0.08897823804286986,4
221.6783018131328,41463,32,58505,58437,222,0.3216981868671951,1
222.95909499511748,41459,32,58509,58441,223,0.040905004882517915,4
223.7892152874136,41458,30,58512,58442,224,0.21078471258638842,1
224.44830697549898,41457,28,58515,58443,225,0.5516930245010201,1
225.7069313672482,41456,26,58518,58444,226,0.2930686327518117,1
226.941561402215,41455,23,58522,58445,227,0.05843859778499905,1
227.98512140813773,41454,19,58527,58446,228,0.014878591862270696,1
228.95397650225405,41453,17,58530,58447,229,0.04602349774594927,1
229.9256038581833,41451,18,58531,58449,230,0.07439614181669185,2
230.85242344598623,41450,17,58533,58450,231,0.14757655401376724,1
231.93721173008805,41447,17,58536,58453,232,0.06278826991194819,3
232.72276173762432,41446,17,58537,58454,233,0.2772382623756755,1
233.8085488696946,41442,19,58539,58458,234,0.19145113030540983,4
234.71390383748184,41440,18,58542,58460,235,0.28609616251816306,2
235.98518319845874,41437,19,58544,58463,236,0.014816801541257973,3
236.5813285175219,41434,20,58546,58466,237,0.4186714824780893,3
237.24420940996166,41433,18,58549,58467,238,0.7557905900383446,1
238.98076256074177,41430,19,58551,58470,239,0.019237439258233735,3
239.16803261600126,41430,18,58552,58470,240,0.8319673839987445,0
240.82570711174202,41430,15,58555,58470,241,0.1742928882579804,0
